F F 8.44157651199487e-12 0.6041761158089941 0.23160347631901887 2.462141350568377 0.7547356596706961 0.5935519651333997
Cr Li 0.07947436864122563 0.33059585214155746 0.7275511163569536 0.6908424479910232 0.20716530144180986 3.596915165155689
Ti Al 0.569246849066123 1.0688190321322828 0.1684511605297352 6.486563509198726 0.33567206075181344 0.3698270294745548
S He 0.29867074435817265 2.273985838165522 0.6894762598523059 0.5485901494870967 3.0894058079594536e-12 1.6356594499453705
Cl O 0.13589459454415426 3.1898827620937955 0.22510771374599192 1.3466031919391455 0.6309168499700382 0.5217963169664291
Ar Ar 0.20258005284826203 7.848862000628227 0.588793383434891 1.1099090983850042 0.32859381871419474 0.3335565983246044
Li He 0.7631288203115386 0.5038968550509136 5.9581797316376826e-08 3.2744804745474 0.30214697054137557 3.4361737020991017
S B 0.296225226610083 2.179420159292667 5.284175081268723e-07 2.1830362059382464 0.6885043316959301 0.5278913753272884
Sc Al 0.5820807347066247 1.0460976279221357 0.16042768406518934 6.164316274659725 0.32024756578493 0.3556249340213119
S Mg 0.4539070558957713 0.4226909134597144 0.45609057737558184 1.1842979066126775 0.108418179238807 5.251873366047018
Cl H 0.22338450422924438 3.0086794462241824 0.772237952531014 0.641495241323862 8.898426653489357e-07 0.625937417114527
K S 0.3464541356218514 0.3523851701748219 0.5714206136506338 1.1211649759247557 0.19979627603742814 7.820568362887389
F He 3.4707078938332395e-16 1.9592208957286779 0.9302427695871156 0.8124284172182286 0.011221295837486916 6.498064409778397e-16
Co Be 0.29428085472947063 0.4499256280032446 0.575210761328452 0.9161037113346909 0.1809471111468 5.28148029504028
Na F 0.24390993623211554 2.410260695015563 0.005680953887586896 1.1065611741327718e-14 0.7365797927310123 0.5806683195919573
Cl Ne 0.4785594543770166 0.4418965256894514 0.11429096210767664 4.490672214925818 0.41661566790121324 1.170370564272879
Ca Mg 0.5801566038063732 1.0398290965317605 0.3208024032588157 0.3493774769532619 0.14703116032424912 5.771524655492638
Mn O 0.14666680949015143 7.569449989020173 0.6438295038219716 0.5647918255113672 0.28743156739402 1.622894025391691
Si Na 0.4877313853884628 0.9850298805693314 0.1305313691610739 3.8277814584540684 0.3824246913275558 0.40395822650942487
V Al 0.5444205327003349 1.1169813564345026 0.18553574441147225 7.156903416910886 0.36636237259890314 0.3909156739620766
Ca He 0.2874853276775014 2.5266577612463643 0.6983604773180276 0.5456789927231813 0.008026128064926462 5.548077571167959e-16
Mn H 0.8167601726417308 0.682251470116311 0.22434797608251816 4.581096019034027 3.3995002989704494e-10 0.8402476994323216
K Ne 0.47395292231921854 1.145552243449225 0.43012297894169815 0.41507970772342556 0.1232924953744723 5.309548708313046
Mn Be 0.3675549114916842 0.47448485001162893 0.17493351539212462 4.434850914283834 0.4858457804420185 0.9185898192751705
Ar Ne 0.11881664128955996 4.929699204580669 0.4655323293844134 1.1345031108475756 0.43425391016080583 0.4156870585388085
Ti F 0.12501484138461064 6.499777606231927 0.3575231977837864 1.4070859501848736 0.565611685195188 0.5055719464649067
Cl P 0.16006048512804064 7.196289569379044 0.5492896050331713 1.1365349433324352 0.3699622692445022 0.3663137682737593
O Li 0.908593946079402 0.7686107380923931 0.7928032117750431 15.435786938873665 0.01492525816491766 0.20282767132953383
